a433-microservices-item-db-1  | 2023-02-06T23:48:19.603+0000 I CONTROL  [initandlisten] MongoDB starting : pid=1 port=27017 dbpath=/data/db 64-bit host=78908e8c4d3b
a433-microservices-item-db-1  | 2023-02-06T23:48:19.603+0000 I CONTROL  [initandlisten] db version v3.6.23
a433-microservices-item-db-1  | 2023-02-06T23:48:19.604+0000 I CONTROL  [initandlisten] git version: d352e6a4764659e0d0350ce77279de3c1f243e5c
a433-microservices-item-db-1  | 2023-02-06T23:48:19.604+0000 I CONTROL  [initandlisten] OpenSSL version: OpenSSL 1.0.2g  1 Mar 2016
a433-microservices-item-db-1  | 2023-02-06T23:48:19.604+0000 I CONTROL  [initandlisten] allocator: tcmalloc
a433-microservices-item-db-1  | 2023-02-06T23:48:19.604+0000 I CONTROL  [initandlisten] modules: none
a433-microservices-item-db-1  | 2023-02-06T23:48:19.604+0000 I CONTROL  [initandlisten] build environment:
a433-microservices-item-db-1  | 2023-02-06T23:48:19.604+0000 I CONTROL  [initandlisten]     distmod: ubuntu1604
a433-microservices-item-db-1  | 2023-02-06T23:48:19.604+0000 I CONTROL  [initandlisten]     distarch: x86_64
a433-microservices-item-db-1  | 2023-02-06T23:48:19.604+0000 I CONTROL  [initandlisten]     target_arch: x86_64
a433-microservices-item-db-1  | 2023-02-06T23:48:19.604+0000 I CONTROL  [initandlisten] options: { net: { bindIpAll: true } }
a433-microservices-item-db-1  | 2023-02-06T23:48:19.604+0000 I STORAGE  [initandlisten] 
a433-microservices-item-db-1  | 2023-02-06T23:48:19.604+0000 I STORAGE  [initandlisten] ** WARNING: Using the XFS filesystem is strongly recommended with the WiredTiger storage engine
a433-microservices-item-db-1  | 2023-02-06T23:48:19.604+0000 I STORAGE  [initandlisten] **          See http://dochub.mongodb.org/core/prodnotes-filesystem
a433-microservices-item-db-1  | 2023-02-06T23:48:19.605+0000 I STORAGE  [initandlisten] wiredtiger_open config: create,cache_size=3420M,cache_overflow=(file_max=0M),session_max=20000,eviction=(threads_min=4,threads_max=4),config_base=false,statistics=(fast),compatibility=(release="3.0",require_max="3.0"),log=(enabled=true,archive=true,path=journal,compressor=snappy),file_manager=(close_idle_time=100000),statistics_log=(wait=0),verbose=(recovery_progress),
a433-microservices-item-db-1  | 2023-02-06T23:48:20.176+0000 I STORAGE  [initandlisten] WiredTiger message [1675727300:176602][1:0x7f6ef69e0a40], txn-recover: Set global recovery timestamp: 0
a433-microservices-item-db-1  | 2023-02-06T23:48:20.243+0000 I CONTROL  [initandlisten] 
a433-microservices-item-db-1  | 2023-02-06T23:48:20.243+0000 I CONTROL  [initandlisten] ** WARNING: Access control is not enabled for the database.
a433-microservices-item-db-1  | 2023-02-06T23:48:20.243+0000 I CONTROL  [initandlisten] **          Read and write access to data and configuration is unrestricted.
a433-microservices-item-db-1  | 2023-02-06T23:48:20.243+0000 I CONTROL  [initandlisten] 
a433-microservices-item-db-1  | 2023-02-06T23:48:20.243+0000 I CONTROL  [initandlisten] 
a433-microservices-item-db-1  | 2023-02-06T23:48:20.243+0000 I CONTROL  [initandlisten] ** WARNING: /sys/kernel/mm/transparent_hugepage/enabled is 'always'.
a433-microservices-item-db-1  | 2023-02-06T23:48:20.243+0000 I CONTROL  [initandlisten] **        We suggest setting it to 'never'
a433-microservices-item-db-1  | 2023-02-06T23:48:20.243+0000 I CONTROL  [initandlisten] 
a433-microservices-item-db-1  | 2023-02-06T23:48:20.244+0000 I STORAGE  [initandlisten] createCollection: admin.system.version with provided UUID: 52e54562-3f80-4ce6-96ca-7cd5b2a0c6b3
a433-microservices-item-db-1  | 2023-02-06T23:48:20.269+0000 I COMMAND  [initandlisten] setting featureCompatibilityVersion to 3.6
a433-microservices-item-db-1  | 2023-02-06T23:48:20.270+0000 I STORAGE  [initandlisten] createCollection: local.startup_log with generated UUID: 29437f17-0e39-4d51-bcd1-a1046ed71c6b
a433-microservices-item-db-1  | 2023-02-06T23:48:20.297+0000 I FTDC     [initandlisten] Initializing full-time diagnostic data capture with directory '/data/db/diagnostic.data'
a433-microservices-item-db-1  | 2023-02-06T23:48:20.298+0000 I NETWORK  [initandlisten] listening via socket bound to 0.0.0.0
a433-microservices-item-db-1  | 2023-02-06T23:48:20.298+0000 I STORAGE  [LogicalSessionCacheRefresh] createCollection: config.system.sessions with generated UUID: afceb170-d908-470f-89f1-ace8757a3ff0
a433-microservices-item-db-1  | 2023-02-06T23:48:20.298+0000 I NETWORK  [initandlisten] listening via socket bound to /tmp/mongodb-27017.sock
a433-microservices-item-db-1  | 2023-02-06T23:48:20.298+0000 I NETWORK  [initandlisten] waiting for connections on port 27017
a433-microservices-item-db-1  | 2023-02-06T23:48:20.339+0000 I INDEX    [LogicalSessionCacheRefresh] build index on: config.system.sessions properties: { v: 2, key: { lastUse: 1 }, name: "lsidTTLIndex", ns: "config.system.sessions", expireAfterSeconds: 1800 }
a433-microservices-item-db-1  | 2023-02-06T23:48:20.340+0000 I INDEX    [LogicalSessionCacheRefresh] 	 building index using bulk method; build may temporarily use up to 500 megabytes of RAM
a433-microservices-item-db-1  | 2023-02-06T23:48:20.341+0000 I INDEX    [LogicalSessionCacheRefresh] build index done.  scanned 0 total records. 0 secs
a433-microservices-item-db-1  | 2023-02-06T23:48:20.633+0000 I NETWORK  [listener] connection accepted from 172.20.0.3:50660 #1 (1 connection now open)
a433-microservices-item-db-1  | 2023-02-06T23:48:20.639+0000 I NETWORK  [conn1] received client metadata from 172.20.0.3:50660 conn1: { driver: { name: "nodejs", version: "2.2.36" }, os: { type: "Linux", name: "linux", architecture: "x64", version: "5.15.79.1-microsoft-standard-WSL2" }, platform: "Node.js v14.21.2, LE, mongodb-core: 2.1.20" }
a433-microservices-item-app-1  | 
a433-microservices-item-app-1  | > docker-software-delivery@1.0.0 start /app
a433-microservices-item-app-1  | > node ./bin/www
a433-microservices-item-app-1  | 
a433-microservices-item-app-1  | NODE_ENV: production
a433-microservices-item-app-1  | Connected to database
